1, Lenovo Tab P11, 14743.68, 2024-09-10, Планшет, Lenovo, 24, 496572682
2, Apple Watch Series 6, 22918.12, 2023-11-20, Годинник, Apple Inc., 24, 455777277
3, Samsung Galaxy Watch 3, 7978.41, 2024-12-15, Годинник, Samsung, 122, 417058037
4, Google Pixel 5, 22382.46, 2024-04-27, Телефон, Google, 27, 401426345
5, Fitbit Versa 3, 9243.36, 2023-10-05, Годинник, Fitbit, 168, 420311313
6, Lenovo Tab P11, 19555.02, 2021-09-10, Планшет, Lenovo, 174, 412781418
7, Samsung Galaxy S20, 1270.28, 2021-06-02, Телефон, Samsung, 152, 485565866
8, PlayStation 4 Pro, 15806.56, 2017-12-27, Ігрова приставка, Sony, 85, 437730157
9, Sony WH-1000XM4, 20232.67, 2021-12-14, Навушники, Sony, 191, 498013561
10, Garmin Forerunner 945, 19691.36, 2023-11-11, Годинник, Garmin, 110, 491687392
11, Xiaomi Redmi Note 10 PRO, 11795.71, 2024-11-17, Телефон, Xiaomi, 77, 432943629
12, OnePlus 9 Pro, 11137.28, 2023-01-30, Телефон, OnePlus, 43, 475451531
13, Bose QuietComfort 35, 20179.30, 2024-09-17, Навушники, Bose, 182, 477228130
14, Garmin Forerunner 945, 2579.39, 2023-11-21, Годинник, Garmin, 189, 439761329
15, Fitbit Versa 3, 24897.40, 2020-11-26, Годинник, Fitbit, 95, 415879518
16, Apple iPad Air (4th Gen), 13035.07, 2022-07-03, Планшет, Apple Inc., 70, 401816277
17, Apple iPad Air (4th Gen), 17306.42, 2021-11-03, Планшет, Apple Inc., 75, 446602886
18, Samsung Galaxy Tab S7, 1347.84, 2022-05-13, Планшет, Samsung, 35, 487475891
19, Sony WH-1000XM4, 16696.71, 2022-08-26, Навушники, Sony, 79, 436336739
20, Samsung Galaxy S20, 5492.25, 2020-08-16, Телефон, Samsung, 139, 479268323
21, Fitbit Versa 3, 24319.19, 2021-12-24, Годинник, Fitbit, 112, 442890123
22, Apple iPhone 12, 22749.56, 2024-08-15, Телефон, Apple Inc., 135, 499100896
23, Bose QuietComfort 35, 24749.81, 2023-07-10, Навушники, Bose, 74, 485303630
24, Huawei P30 Pro, 14788.04, 2023-09-18, Телефон, Huawei, 115, 431363718
25, Sony WF-1000XM3, 16312.70, 2023-07-09, Навушники, Sony, 42, 402708154
26, Apple Watch Series 6, 10869.91, 2024-05-25, Годинник, Apple Inc., 133, 424333336
27, Samsung Galaxy Tab S7, 19844.89, 2020-08-17, Планшет, Samsung, 124, 449139390
28, Fitbit Versa 3, 21295.94, 2023-04-19, Годинник, Fitbit, 142, 451893873
29, XBOX One S, 12344.56, 2018-06-20, Ігрова приставка, Microsoft, 38, 461943462
